DATE,LAT,LON,HEADLINE,DESCRIPTION,LINK
7/2/20,38.576098,-121.491626,California Reverses Steps to Reopen Economy,"As new cases hit an all time high, California, along with a few other states, began backpedaling on its plans to reopen its economy by easing business and gathering restrictions.",https://www.reuters.com/article/us-health-coronavirus-usa/reopenings-stall-as-u-s-records-nearly-50000-cases-of-covid-19-in-single-day-idUSKBN2426LN
7/7/20,0,0,"US passes 3 Million infections, begins withdrawal from WHO","In a bizarre turn of events, the Trump administration notified the United Nations of its choice to back out of its commitments to the World Health Organization. Although the WHO was not without fair criticisms throughout the pandemic, this decision was taken with confusion and denounced by many local and world leaders.",https://apnews.com/article/9dc4077f95d183649ca24a32a18abf01
7/15/20,0,0,Hospital Data Reporting Protocols Updated,"An announcement was made mandating that COVID-19 data must be sent directly to a central HHS database. Prior to this decision, this was handled by the CDC's National Healthcare Safety Network site. Critics questioned the trustworthiness and lack of transparency behind the new data protocols.",https://www.hhs.gov/sites/default/files/covid-19-faqs-hospitals-hospital-laboratory-acute-care-facility-data-reporting.pdf
7/29/20,0,0,FDA grants EUAs for Rapid Antibody Tests,The new antibody test was found to be both effective in terms of specificity and sensitivity.,https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-july-27-2020
8/17/20,0,0,COVID-19 becomes 3rd Largest Cause of Death in US,"Just behind heart disease and cancer, COVID-19's deadliness begins to show as deaths grow each day. Additionally, testing procedures decreased nationwide despite the virus showing no signs of stopping soon.",https://www.ajmc.com/view/a-timeline-of-covid19-developments-in-2020
8/25/20,0,0,CDC Changes Testing Guidance,"Without much publicity, the CDC bypassed its own typical scientific review process of the new testing guidelines, specifically in removing the need to get tested after being exposed but without symptoms.",https://www.nytimes.com/2020/08/25/health/covid-19-testing-cdc.html
9/10/20,44.414421,-103.508761,Sturgis Motorcycle Rally leads to significant spread of coronavirus,"Researchers investigating the event found that places with many people who attended the 460,000 person rally experienced spikes in cases, and that over 200,000 cases of COVID-19 could be attributed to the rally.",https://www.washingtonpost.com/health/2020/10/17/sturgis-rally-spread/
9/14/20,0,0,US Airports Stop Screening International Travelers,"Since March, incoming flights from countries with high covid-19 risk were piped to a small subset of airports and passengers had to be medically screened.",https://news.yahoo.com/exclusive-the-white-house-orders-end-to-covid-19-airport-screenings-for-international-travelers-172713942.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuYWptYy5jb20v&guce_referrer_sig=AQAAAFvRIi0-Frsg29RIAPMT5Cri0JngJQ5vy_sVm95rmTAKyfzQW8_riuVi_lANsEEbfBlRfjUZsyHq5VnBHspiQJ4nYrh67IspeWGxx5MRGBuGVms6pjhoxyIi84xxoTNZstl22EHn7rne93lJmMEjhXwDBphgDK5ApLYcTV7Hqkvf
9/25/20,0,0,Midwest States See Spike in COVID-19 Cases,"In the month of September, many midwest and northern states experienced massive rises in cases. South Dakota specifically recorded well over an increas of 150%. The Sturgis rally, school sessions beginning, and Labor Day weekend gatherings were all cited as possible causes.",https://www.reuters.com/article/us-health-coronavirus-usa-cases-idUSKCN26G053?
9/26/20,38.897110,-77.036561,Superspreader Event Held on White House Lawn,"An event celebrating the nomination of conservative justice Amy Coney Barrett to the US supreme court was held on the white house lawn. Several attendees started to test positive for the virus afterward. Pictures of the event showed a large crowd, with many participants not wearing masks. While the event was not contact traced as it is supposed to be, journalists and doctors attempted to piece together how many cases of COVID-19 could be attributed to this event.",https://www.newsweek.com/amy-coney-barrett-rose-garden-event-was-wh-covid-superspreader-new-data-suggests-1537865
10/2/20,0,0,"President Trump tests positive for COVID-19, Admitted to Hospital","Shortly after the nomination party, US President Donald Trump and his wife Melania both tested positive for COVID-19. Trump was quickly moved to Walter Reed Medical Center, where he received experimental treatments and later recovered from his infection.",https://www.npr.org/sections/latest-updates-trump-covid-19-results
10/8/20,0,0,NEJM citicizes Trump's COVID-19 Response as 39 states see rising cases,"34 editors of the New England Journal of Medicine called out the administration's ineffective response to the pandemic. During this same period of time, multiple states were setting new infection records each day, and the white house was seeing a massive outbreak of its own.",https://www.nejm.org/doi/full/10.1056/NEJMe2029812
10/17/20,41.005538,-72.491020, New York Wedding leads to over 40 cases of COVID-19,A Long Island wedding which violated the gathering limits set by local authorities become a superspreader event after many guests and staff who attended the wedding tested positive for COVID-19,https://nypost.com/2020/11/11/this-couples-wedding-turned-into-a-covid-19-superspreader-event/
11/4/20,0,0,"US Reports 100,000 cases in 1 day","For the first time in the pandemic, the United States saw 100 thousand confirmed new cases in a single day. ",https://www.nytimes.com/live/2020/11/04/world/covid-19-coronavirus-updates?
11/20/20,0,0,CDC warns against Holiday Travel,"As case numbers continued to increase exponentially throughout the fall season with dropping temperatures, Americans were urged to stay home and not travel for the upcoming holiday season. Cumulative cases surpassed 11 million at this time.",https://www.politico.com/news/2020/11/19/cdc-thanksgiving-travel-coronavirus-438283?
12/2/20,0,0,US reports highest number of COVID-19 deaths in a single day,"In the beginning of winter, death rates began to spike, reflecting the spiking case rates from weeks prior. Over 2500 deaths per day are occuring, with that rate only increasing since.",https://www.cnn.com/world/live-news/coronavirus-pandemic-12-02-20-intl/h_2cbfc56673b02f95ce59962dbf8888a0
